"1,000","3,000","10,000","30,000","100,000",1-level,2-level,3-level,4-level,5-level,6-level,7-level,8-level,9-level,10-level,11-level,12-level,13-level,14-level,15-level,16-level,17-level,18-level,19-level,20-level,benchmark,y
32748.3,32746.3,32742.8,32744.5,32747.3,32745.25,32744.5,32742.5,32742.5,32744,32744.25,32744.5,32745.5,32745.75,32745.5,32746,32746.5,32745.75,32745,32746,32746,32747,32749,32749.75,32750,32745.12,32745.67
32745.8,32745.8,32748.5,32740.8,32746.8,32747.75,32748.5,32748.5,32745.25,32745.25,32743.5,32743,32744,32744.5,32743.75,32743.75,32742.25,32743,32745,32745.25,32745.75,32745.75,32746.25,32746.75,32748.25,32745.67,32742.06
32741.5,32740.3,32743.3,32740.5,32746,32741.5,32741.5,32742.25,32741.5,32741.5,32741.5,32741.75,32743,32742.75,32743,32743.25,32743,32741,32742.25,32742.25,32742.25,32742,32741.25,32741.75,32743.25,32742.06,32725.79
32725.8,32725.8,32728,32723.3,32723.5,32725.75,32725.75,32727.75,32726.5,32726,32726.75,32726.5,32726.75,32727.25,32728,32728,32728.5,32728.5,32729,32731,32731,32730.75,32730.75,32731.5,32731.5,32725.79,32736.27
32737.8,32736,32732.8,32732.3,32740,32733.25,32737.75,32738,32736.25,32737.25,32739,32737.5,32737.5,32737.5,32737.5,32737,32737,32735.5,32734.5,32733.5,32732.75,32733.25,32733.25,32733.25,32733.25,32736.27,32737.63
32737.5,32737,32735.5,32737.3,32740,32737.25,32737,32738.5,32738.25,32738.75,32738.25,32738.25,32738.25,32738.5,32737.75,32737.75,32737.75,32737.75,32738.25,32737.25,32737,32737.5,32738,32738.25,32740,32737.63,32736.19
32738.5,32738.5,32732.3,32734,32738.3,32736.75,32736.5,32734,32734.75,32735.25,32735.5,32736.5,32736.75,32736.75,32736.75,32736.75,32736.25,32736.75,32736.75,32736.75,32736.75,32734.75,32737.75,32739.25,32739.5,32736.19,32729.01
32730.5,32729,32727.5,32728,32733.8,32728.25,32730,32729.25,32727.5,32727.75,32727.75,32728,32727.75,32729,32729.5,32730,32730.5,32731.5,32730.75,32730.5,32730.5,32730.5,32731,32730.75,32730.75,32729.01,32714.34
32711.8,32715,32717,32714.8,32718.3,32711.75,32712,32712,32712.25,32714.25,32714,32714.75,32716.5,32716.5,32716.5,32716,32715.5,32715.5,32715.5,32715.5,32716.25,32718,32719,32718.75,32719,32714.34,32700.94
32700.8,32699.5,32699.5,32701.3,32703.5,32698.5,32699.75,32700.75,32701.5,32701.75,32701.75,32703.25,32703.25,32702.75,32702.75,32703,32702.75,32702.75,32703.75,32704,32704.75,32704.5,32705,32705.25,32707,32700.94,32702.54
32702,32702,32701.8,32702.8,32703.5,32703.5,32702.25,32702.75,32702.25,32702.25,32702.25,32703.5,32703,32702.75,32702.25,32702.25,32703.25,32703.5,32703.5,32703.5,32703,32703,32703,32703,32705,32702.54,32718.49
32719.3,32719.3,32718.5,32714.8,32720,32716.25,32718.5,32720,32719,32719.75,32719.75,32719.75,32719.5,32719.5,32719.5,32719.75,32719.5,32719.5,32718.25,32718.75,32719.25,32719.75,32720.75,32720.75,32719.75,32718.49,32723.92
32721.3,32721.3,32725.5,32724.3,32724.5,32722.25,32725.5,32725.75,32725.5,32724.75,32725,32724.5,32724,32723.75,32723.75,32724,32724.25,32724.5,32724.5,32725.5,32726.5,32726.5,32727,32727.25,32726.75,32723.92,32717.51
32717.8,32717.8,32717,32719,32712,32715.75,32717,32716.5,32719.5,32719.75,32719.75,32719.75,32719.5,32719.25,32718.75,32718.75,32718,32717.25,32717.75,32716,32716,32716.25,32718.25,32718.75,32720.25,32717.51,32722.76
32722.3,32722.5,32724.8,32723.5,32728.5,32720.25,32721.5,32720.25,32722.25,32722.5,32721.25,32720.75,32720.75,32721,32721,32721,32723.5,32725.75,32725.25,32725.25,32725,32726.5,32726.5,32725.75,32725,32722.76,32700.15
32699.8,32700.8,32698.8,32700.5,32702.3,32699.25,32699.25,32699.75,32699.75,32700.25,32700.25,32700.25,32700.75,32699.75,32700,32700,32700.5,32700.25,32700.5,32700.75,32702,32702,32702,32702.25,32701.75,32700.15,32708.99
32706,32709.8,32710.8,32708.3,32708,32709.75,32707.25,32708.75,32710,32710,32710,32710,32710,32710.5,32711,32710.75,32710.75,32710.5,32711.25,32710.25,32710.25,32711,32712,32712,32712.5,32708.99,32683.25
32680.5,32680.5,32680.5,32685,32686,32681.25,32683.25,32684.75,32685,32684.75,32685,32685.5,32685.5,32686.25,32686,32686.5,32685.75,32685.75,32686,32688.25,32688.25,32688,32688.5,32688.25,32688.25,32683.25,32692.76
32692.3,32692.3,32692,32693.5,32696.5,32690.25,32691.25,32692,32692,32693.25,32693.25,32694,32694.25,32692.75,32692.25,32693.25,32693.25,32694.25,32694.5,32695,32695.25,32695.25,32696.5,32696.5,32696.5,32692.76,32679.44
32678.3,32678.3,32678,32680.5,32685,32678,32678.25,32680.25,32679.25,32680,32680,32679.5,32678.75,32678.75,32679.25,32679.5,32680.5,32681.5,32683,32683,32683,32682.75,32683,32683,32683.25,32679.44,32692.67
32694.3,32694.3,32696,32692.3,32691.8,32694,32692.5,32693.75,32692.75,32689.75,32690,32688.75,32688.75,32688.75,32688.5,32689.75,32689.75,32689.75,32689.75,32690,32690.75,32691,32691,32692.5,32692.75,32692.67,32673.44
32673.8,32673.8,32673.8,32675,32676,32672.5,32672.5,32671.25,32671.75,32671.5,32672,32672,32673.25,32673,32673.75,32674.25,32675,32675,32675,32675,32675.75,32675.75,32675.75,32676.25,32676.25,32673.44,32678.32
32677,32678.5,32678.3,32679.3,32679.8,32678.5,32678.5,32678.25,32677.75,32677.75,32678,32677.5,32677.5,32678,32677.75,32677.75,32678.25,32677.25,32678.5,32679.25,32679.75,32679.75,32679,32678.75,32678.75,32678.32,32683.69
32683.5,32683.5,32684.8,32685.8,32681.5,32683.5,32684.5,32684.25,32683.25,32683.25,32683,32683.75,32683.5,32683.75,32684.75,32684,32683.75,32683.5,32683.75,32683.75,32683.75,32685,32685.5,32686.5,32686.25,32683.69,32691.92
32691.8,32691.8,32690,32690.8,32693.3,32693.25,32692,32692.25,32692.75,32693,32691.25,32692.25,32692.25,32692.5,32693.25,32692.75,32692.75,32692.75,32692.5,32693.75,32694.75,32695,32695,32695,32694.75,32691.92,32683.36
32682,32681.5,32681.3,32685.5,32688,32681.75,32681.5,32681.75,32683.25,32683.75,32684,32683.5,32684.75,32684.25,32684.25,32685.25,32685.25,32686.5,32686.75,32687.5,32687.5,32688,32688.25,32688.5,32689,32683.36,32682.36
32681.8,32681.5,32681.5,32684.8,32681,32680.75,32681.75,32682,32682.5,32682.75,32684,32684.25,32684,32683.75,32683.75,32684.5,32684,32683.75,32683.5,32684.25,32684.25,32684.75,32687.25,32687.25,32687.75,32682.36,32668.96
32669,32669,32668.3,32670.3,32672,32666,32667.5,32668,32668.5,32667.5,32669.5,32669.25,32669.5,32669.5,32669.5,32670,32669.75,32669.75,32670.25,32669.25,32671,32671.25,32670.25,32670.25,32670.5,32668.96,32671.77
32670.8,32670.5,32669.5,32670.3,32674.8,32670.75,32672.5,32672,32672.5,32672.75,32672.75,32673,32673.25,32672.25,32671.75,32672,32672.25,32672,32672.25,32672.25,32672.25,32672.75,32674.75,32675,32674.25,32671.77,32670.14
32669.8,32668.5,32668.5,32671.3,32673.8,32669.75,32669.25,32670,32670.75,32670.75,32669.75,32670,32670,32670.25,32670.25,32670.25,32670.25,32670.25,32672,32673.75,32673.75,32674,32673.5,32673.5,32673,32670.14,32685.14
32683.8,32683.8,32683.8,32688,32684.5,32685.25,32685.5,32686.25,32686.25,32685.25,32685.5,32685.5,32685,32685.25,32685.25,32685,32685,32686.5,32686.5,32688.5,32688.25,32688.75,32688.75,32689.25,32690.5,32685.14,32692.96
32694.3,32693,32692,32693,32692.8,32689.75,32693,32693.75,32693.75,32694.25,32694.5,32693.5,32693.5,32693.75,32693.5,32692.75,32693.5,32693.5,32694.25,32694.25,32695,32695.5,32695.5,32694.5,32694,32692.96,32685.12
32684.3,32684.3,32684.3,32686.5,32683.3,32684.5,32685.5,32686.75,32686.25,32686.5,32686.5,32685.75,32685.75,32686,32686,32687.25,32688,32687.75,32687.75,32688.25,32688.5,32688.5,32688.25,32688.5,32689,32685.12,32693.72
32694.5,32693.3,32691.8,32694.3,32693.5,32693,32694.25,32693.25,32693.5,32693.75,32694.25,32695.25,32694.75,32694.5,32694.5,32694.25,32693.5,32693.5,32694,32693.75,32693.75,32693.25,32695.5,32695.5,32695.75,32693.72,32693.49
32693.5,32693.3,32692.8,32695,32695,32693.25,32693.25,32693,32693,32692.5,32692.5,32693.5,32693.25,32693.25,32693.25,32692.25,32692.5,32691.75,32691.75,32691.75,32693.25,32694,32694,32691.5,32690.5,32693.49,32715.99
32716,32714.3,32714.3,32719,32717.5,32715.75,32714.75,32716.5,32715.75,32716.5,32716.5,32716.25,32716,32716.25,32716.5,32716.5,32716.25,32716.5,32716.25,32717,32717,32717,32716.5,32717,32716.5,32715.99,32735.69
32736.3,32736,32736,32735.3,32735.8,32736.25,32736.25,32734,32734,32735.25,32735.5,32735.75,32735.5,32735,32735.5,32735.75,32735,32735,32735.75,32735.75,32736,32736,32736.5,32737,32737.25,32735.69,32736.35
32736.8,32736.8,32735.8,32736.3,32736.3,32736.75,32736.75,32736.25,32735.5,32736.25,32736,32736.5,32736.5,32737,32737.75,32737,32737,32737,32737.25,32737,32737,32737.5,32737.75,32737.75,32737.5,32736.35,32732.02
